Review,Rating,sentiment,label
Dinner for two without the price tag!! 08/29/2017,4.0,Positif,2
TOURIST TRAP/STAY AWAY 11/05/2017,2.0,Négatif,0
Disney Wonder crew 10/09/2016,3.0,Neutre,1
A very nice place close to Prenzlauer Berg 09/19/2015,3.0,Neutre,1
Nice place for a quick and chill bite 01/20/2018,3.0,Neutre,1
real authentic Thai food 07/19/2016,4.0,Positif,2
Little Caesar Largo 01/10/2017,1.0,Négatif,0
Small small portions with big big prices 05/12/2017,2.0,Négatif,0
"Excellent Lunch at The Coal Shed, Tower Br... 01/06/2018",4.5,Positif,2
Idyllic restaurant in a beautiful milieu 07/10/2013,3.0,Neutre,1
Disapointing 11/06/2015,3.0,Neutre,1
"Good prices & service, okay food. 08/30/2017",3.0,Neutre,1
Cold dry pizza 01/29/2016,2.0,Négatif,0
A place to be 07/19/2017,5.0,Positif,2
Booked a table for lunch on our way to Wem... 05/29/2017,3.0,Neutre,1
"Lack of variety, no protein, slow service. 01/20/2018",4.0,Positif,2
Trendy spot in Breil 11/25/2014,3.0,Neutre,1
A very nice dinner experience 09/17/2017,4.0,Positif,2
"Food excellent, service a little lacking 07/04/2017",4.0,Positif,2
Horrendous 04/13/2008,1.0,Négatif,0
BEST MEAL! Amazing SERVICE! 09/08/2013,4.0,Positif,2
Tapas and lunch menu 03/07/2017,3.0,Neutre,1
Average chicken place. 10/06/2014,3.0,Neutre,1
Slightly better than their competition 07/23/2015,3.0,Neutre,1
November Visit 01/07/2018,4.5,Positif,2
Chicken Tikka Wrap 08/30/2017,2.5,Positif,2
Pleasant place to spend the evening 12/09/2016,4.5,Positif,2
Hamburger mix! 10/09/2017,3.0,Neutre,1
Good food. 4* rating?? 09/28/2015,2.0,Négatif,0
2 for 1 cocktails 08/10/2017,3.0,Neutre,1
"Ok, but nothing more 11/04/2017",2.0,Négatif,0
Eat like the locals with affordable prices 11/18/2017,4.0,Positif,2
"Ok food , cheap 04/22/2016",3.0,Neutre,1
Team lunch 12/15/2017,4.0,Positif,2
charming street food restaurant with brill... 08/28/2015,5.0,Positif,2
Ace Pizza 07/26/2014,3.0,Neutre,1
New discovery 10/21/2017,4.0,Positif,2
Good fish 12/17/2017,4.5,Positif,2
Best at night in Lisbon 03/12/2017,2.0,Négatif,0
Authentic Italian 01/02/2018,4.0,Positif,2
Layover hotel bar 02/16/2016,3.0,Neutre,1
Polish pub 04/06/2016,3.0,Neutre,1
Great burgers at Hache Shoreditch! 12/11/2017,4.5,Positif,2
A place a lot of locals dined 11/18/2016,4.0,Positif,2
Bad Customer Service/Dalston branch 11/05/2017,3.5,Positif,2
Frozen Friend Chicken? 01/26/2017,1.0,Négatif,0
Nice local place 04/17/2017,4.0,Positif,2
Overpriced local store 01/21/2017,2.0,Négatif,0
Good location with nice views 09/05/2017,3.5,Positif,2
Dream of reading a book in a European cafe... 04/14/2015,2.0,Négatif,0
Burnt burgers 02/08/2017,2.0,Négatif,0
Such a great time 08/26/2017,3.0,Neutre,1
Best Thai food in Barcelona hands down 07/30/2017,4.5,Positif,2
Centrally located restaurant with good ser... 11/29/2015,3.0,Neutre,1
"Nice place to sit, talk and eat 07/09/2016",3.5,Positif,2
Solid meal 07/21/2017,4.0,Positif,2
"Terrible customer service, coffee was OK. 06/25/2015",1.0,Négatif,0
"cheap, and ok if you are 20 yrs old 01/30/2017",2.0,Négatif,0
"Incredibly slow, very impolite 11/22/2017",2.0,Négatif,0
The worst place ever to eat Spanish food 08/31/2017,1.0,Négatif,0
So Kind 07/14/2015,4.0,Positif,2
Typical cafe 01/15/2017,3.0,Neutre,1
Miss NYC 01/12/2013,3.5,Positif,2
True “hygge” 12/14/2017,3.0,Neutre,1
Really interesting creations by resident c... 04/07/2016,3.5,Positif,2
Roti Kitchen CONTINUE to improve!!! 01/08/2018,-1.0,Négatif,0
A really nice small restaurant in &nbsp;a... 01/06/2018,5.0,Positif,2
Bistro 25 is a French soup disappointment 10/15/2017,3.0,Neutre,1
Tasty Bavarian without overdoing it 10/18/2017,4.0,Positif,2
"Hidden spot, but Lisbon's best place to di... 01/30/2018",4.5,Positif,2
Not too bad 01/08/2013,3.0,Neutre,1
burrito fix 10/12/2017,3.0,Neutre,1
Mice Running Around In The Cafe 02/09/2015,1.0,Négatif,0
Uncertain opening/closing times 06/30/2017,2.0,Négatif,0
Rapha needs to do some work here 05/28/2017,1.0,Négatif,0
"Good bar, good service. 06/19/2017",4.0,Positif,2
"Too expensive, with less quality 10/07/2017",2.0,Négatif,0
Bouchon Lyonnaise 01/13/2018,4.0,Positif,2
Completely messed it up - but didn't charg... 04/10/2017,2.5,Positif,2
High prices 01/05/2018,1.0,Négatif,0
Nice dining experience! 10/30/2017,2.0,Négatif,0
Excellente découverte 09/09/2017,5.0,Positif,2
Huge portions of yummy Greek food 01/29/2017,4.0,Positif,2
Disgusting service and food!! 08/06/2017,1.5,Négatif,0
Summer@London 2017 09/07/2017,3.5,Positif,2
"Lovely staff, average food. 12/28/2017",3.0,Neutre,1
Oh dear. 12/04/2015,1.0,Négatif,0
"Pizza is good, but... 03/16/2014",2.0,Négatif,0
Terrible Sandwich for lunch 09/02/2017,1.0,Négatif,0
"Ripoff, avoid at all costs 10/23/2016",1.5,Négatif,0
Don't expect to much 05/29/2016,3.0,Neutre,1
Really good tasting burrito 08/24/2016,3.0,Neutre,1
Cheap eats but good enough 06/17/2017,3.0,Neutre,1
Mobile phone stolen here 05/23/2016,2.0,Négatif,0
Coffee OK 12/28/2017,3.0,Neutre,1
"Enjoyable atmosphere, tasty food. 01/25/2017",3.0,Neutre,1
Good place to spend an hour while waiting... 04/28/2017,1.5,Négatif,0
Ridiculously rude service 10/20/2016,3.0,Neutre,1
Good location mediocre otherwise 05/05/2016,3.0,Neutre,1
Supper at Presso 08/31/2017,2.0,Négatif,0
Wonderful Atmospehere 01/03/2017,3.0,Neutre,1
Charming place to enjoy a nice meal 03/10/2014,3.0,Neutre,1
Chinese food oasis in Madrid 01/01/2018,4.0,Positif,2
"verpriced, snobbish and arrogant 11/24/2008",1.0,Négatif,0
Ponyvaregény = Pulp Fiction 02/25/2017,3.0,Neutre,1
Now is a very todo japanes restaurant cal... 05/26/2017,2.0,Négatif,0
Bistro is changing! 01/09/2018,-1.0,Négatif,0
Really Real Thai test 01/25/2016,4.5,Positif,2
Average BK 03/17/2015,3.0,Neutre,1
Different! Good steak though. 11/15/2017,3.0,Neutre,1
Lovely atmosphere with accommodating staff 12/27/2014,2.0,Négatif,0
"Nice bar, average food 07/27/2016",2.0,Négatif,0
Nice finding ! 06/21/2017,4.0,Positif,2
time travel into the 1970s 02/17/2016,4.0,Positif,2
order the opposite to what you want 09/12/2016,1.0,Négatif,0
Great lunch deal 02/02/2017,5.0,Positif,2
Very Good Italian Restaurant in Madrid 09/06/2014,2.0,Négatif,0
Great timing 11/13/2014,5.0,Positif,2
They have so much to improve! 05/18/2014,2.0,Négatif,0
"Great Wine Bar, Eaterie 05/04/2016",4.0,Positif,2
Best pulpo ever! 11/26/2014,2.0,Négatif,0
Alternative and unconventional little Cafe 07/16/2017,4.0,Positif,2
Reasonalbe quality at a fair price 07/29/2015,3.0,Neutre,1
Walked out 01/06/2018,2.0,Négatif,0
Typically Hipster Gaf - all looks no subst... 05/27/2017,2.0,Négatif,0
Terrible Employee 10/22/2017,3.0,Neutre,1
"Grim and worn-out interior, mediocre food... 11/28/2012",2.0,Négatif,0
Pizza slice 08/21/2015,1.0,Négatif,0
"Poor service, food average, very expensive... 01/02/2008",1.0,Négatif,0
Dodgy Doner 01/12/2017,2.0,Négatif,0
Pretty grim! 12/10/2015,1.0,Négatif,0
Very poor! 08/11/2017,3.0,Neutre,1
Our local pub is back on track finally 09/10/2017,3.5,Positif,2
The worst experience of my life in a resta... 11/26/2016,1.5,Négatif,0
Go to the bathroom before you go there! 08/28/2012,1.5,Négatif,0
Can choose your sandwich 11/09/2017,4.0,Positif,2
"Good Shisha, Poor Name! 05/16/2017",3.0,Neutre,1
Pretty good Korean food in Budapest 08/01/2013,4.0,Positif,2
An alternative 11/05/2017,2.0,Négatif,0
Overpriced and mouldy. 01/03/2014,1.0,Négatif,0
"Sandwiches were fresh, made to order and e... 08/04/2017",4.5,Positif,2
"Cafeteria with tired sandwiches, limp sala... 02/16/2017",3.5,Positif,2
If you want to eat a great pizza in Ljublj... 02/02/2012,2.0,Négatif,0
A screw in the pizza! 12/12/2016,3.5,Positif,2
Caribean Christmas Dinner 12/25/2017,4.5,Positif,2
"Excellent meals, cold beer, very pleasant... 03/13/2017",4.5,Positif,2
The staff rubs you the wrong way 03/24/2016,3.0,Neutre,1
Aqua shard workers party 05/20/2015,1.0,Négatif,0
Well worth seeking out 09/16/2017,4.0,Positif,2
Nice local bar 06/22/2015,5.0,Positif,2
Poor expensive food 09/03/2014,2.0,Négatif,0
Lunch with a friend 01/01/2018,3.5,Positif,2
A very comfortable bar/lounge 12/12/2017,4.5,Positif,2
Rude staff and food that takes ages 07/19/2017,3.0,Neutre,1
Great food and fantastic service 05/09/2016,4.5,Positif,2
Simple fare 12/06/2012,3.0,Neutre,1
Sunday Brunch was a disaster 12/21/2011,2.0,Négatif,0
"Scarce, unfriendly and expensive. 08/02/2017",2.0,Négatif,0
Groupon Ripoff 05/08/2013,3.0,Neutre,1
Really best coffee 07/28/2014,4.5,Positif,2
"Impressive brunch, great location 05/02/2016",3.0,Neutre,1
God Pizza 11/03/2012,2.0,Négatif,0
Deception over alcohol licence 10/15/2017,4.5,Positif,2
Best of fast food chain 12/06/2017,3.0,Neutre,1
Surprise in suburbs 09/18/2017,5.0,Positif,2
Lovely lunch in a great location 09/12/2015,3.0,Neutre,1
No better than a supermarket frozen pizza... 11/03/2016,1.0,Négatif,0
Don't go there at all! Rat invested! 06/06/2017,2.0,Négatif,0
Excellent fusion food & photograph concept 11/30/2017,4.5,Positif,2
Half cooked pizza with all the consequence... 02/24/2017,1.0,Négatif,0
Only if you need a drink outside on the st... 08/19/2016,1.5,Négatif,0
"Slow service, sashimi not fresh 07/05/2013",2.0,Négatif,0
Family friendly and consistently great foo... 11/12/2017,4.5,Positif,2
Pizza fantastic 09/11/2017,4.5,Positif,2
Good price for decent chinese food. 04/25/2011,2.0,Négatif,0
"Studenty feel but authentic, tasty food wi... 08/18/2017",2.0,Négatif,0
Best Cocktails in London - Atmosphere to M... 01/08/2018,4.5,Positif,2
good for tourists 10/18/2016,3.0,Neutre,1
Strike out 07/22/2017,4.5,Positif,2
Worst ever experience! 05/18/2013,1.5,Négatif,0
Great food and location 11/03/2017,4.0,Positif,2
Great local pub with an amazing atmosphere 11/29/2016,4.5,Positif,2
Proper greasy chipper 09/10/2016,3.0,Neutre,1
Atiram bar terrace at rambla street. 07/19/2014,3.0,Neutre,1
Not only Gluten-free pizza but also other... 12/27/2017,3.0,Neutre,1
Schwedensplatz/ kindest staff 09/08/2017,4.0,Positif,2
Slow and messy 11/26/2017,2.0,Négatif,0
This is a very special place and long may... 04/01/2016,4.5,Positif,2
Delicious pierogi near Vienna University 02/01/2017,5.0,Positif,2
Our first full English breakfast here. 06/15/2017,4.0,Positif,2
"good food, slow service 02/13/2016",2.0,Négatif,0
Bring back salted caramel brownies 07/12/2017,5.0,Positif,2
"The food, the staff and the terrace 07/30/2015",4.0,Positif,2
"Lightning fast, but not good. 05/02/2017",3.0,Neutre,1
overcharged on wine and did bother 07/11/2017,3.0,Neutre,1
Frequent Customer 06/30/2017,5.0,Positif,2
Think twice before going here 03/30/2017,4.0,Positif,2
Worse place ever. Don't go there 04/13/2017,1.5,Négatif,0
Scam place DONT GO 09/06/2015,2.0,Négatif,0
Poor very poor service systems and bad 11/18/2017,3.0,Neutre,1
We thought it was a joke! 01/04/2018,3.0,Neutre,1
Yes yes yes! Applause for the chef! 08/16/2017,4.5,Positif,2
Good food and great location! 11/19/2017,4.0,Positif,2
"Perfect beer, view and service 11/22/2017",4.0,Positif,2
Sooo not worth it 09/11/2016,1.5,Négatif,0
"Fresh, tasty food & super friendly service 06/02/2015",3.0,Neutre,1
"OK cafe and food downstairs, close to LSE 04/26/2017",3.0,Neutre,1
Great arabian atmosphere with great entert... 02/20/2017,3.0,Neutre,1
By the museum 05/22/2017,2.0,Négatif,0
Basic Italian 10/15/2017,4.0,Positif,2
15 Euro Steam food diner in 40 minutes 06/17/2015,3.5,Positif,2
This place stinks! 07/05/2015,2.0,Négatif,0
Big and very good toasties 09/25/2016,4.5,Positif,2
Fresh ingredients but no taste 08/25/2017,2.0,Négatif,0
Great experience - delicious paella! 01/03/2018,4.5,Positif,2
Favorite sushi place in Brussels 10/20/2016,3.0,Neutre,1
Good for a Couple of Beers 06/12/2016,2.0,Négatif,0
"Quick service, fast food 01/29/2016",1.5,Négatif,0
Absolutely disgusting food&staff! Don’t re... 11/19/2017,2.0,Négatif,0
Night out in London 12/30/2017,4.5,Positif,2
Here in Bayswater 09/30/2013,2.0,Négatif,0
"The NEW Sidre Asgaya - Calle Toledo, 170 05/23/2016",3.0,Neutre,1
"> Pizza Express, < Franco Manca TURN THE M... 04/28/2017",3.0,Neutre,1
Decent effort. 05/23/2017,3.0,Neutre,1
"Good food, slow and sketch service 02/11/2017",3.0,Neutre,1
"Good food, Good location, Friendly service 09/07/2015",2.0,Négatif,0
Average menu and service 06/16/2016,2.0,Négatif,0
It´s worth it 06/21/2017,4.5,Positif,2
It looked promising 04/14/2017,2.0,Négatif,0
Awesome place for rock music lovers 08/12/2016,4.0,Positif,2
A restaurant with Scandinavian atmosphere. 11/07/2017,5.0,Positif,2
Very Consistent 02/09/2013,3.0,Neutre,1
Shameful lasagne 11/01/2014,3.5,Positif,2
Good breakast 04/02/2017,3.0,Neutre,1
The attention is horrible! 12/29/2017,2.0,Négatif,0
Do not recommend 04/28/2014,1.5,Négatif,0
Microwave rice 02/22/2017,3.0,Neutre,1
"Horrible place, stay away! 07/24/2016",1.0,Négatif,0
short stop 06/28/2017,1.0,Négatif,0
"Good, Amazingly Cheap, Food 06/30/2015",3.0,Neutre,1
"As a station cafe, this is pretty good 03/30/2010",3.0,Neutre,1
Cheap and good food but please be quick 08/14/2016,2.0,Négatif,0
"Attentive service, no waiting and great fi... 09/13/2016",2.0,Négatif,0
Subway Memoirs 09/20/2016,2.0,Négatif,0
Good average 12/02/2016,3.0,Neutre,1
Ordered take away food is not what you get... 06/07/2017,2.0,Négatif,0
No stars wasn't possible 04/10/2017,1.0,Négatif,0
looking for a new wine club? this is your... 11/14/2017,4.5,Positif,2
"Friendly staff good food, good prices 12/08/2017",4.5,Positif,2
Reheated chips which were not hot 07/30/2016,1.5,Négatif,0
BUY ONE GET ONE FREE ON COLLECTION 08/26/2017,3.0,Neutre,1
"Amazing Food, Excellent Service! 11/22/2017",4.0,Positif,2
Chain bar 06/17/2017,3.0,Neutre,1
"Not special, prices are ok 08/02/2017",3.0,Neutre,1
Really cosy and amazing food ! 10/14/2017,4.0,Positif,2
"Great service, shame about the lamb shank 11/18/2017",2.0,Négatif,0
An insult to sushi 07/23/2017,4.0,Positif,2
Very Good Chinese Cuisine Near Palais des... 08/31/2016,4.5,Positif,2
Quick bite without wasting time 05/12/2017,3.0,Neutre,1
Best pizza I've had in Portugal 09/23/2017,4.5,Positif,2
Poor Chinese Take Away 09/13/2015,2.0,Négatif,0
Good Pizza for small budgets 06/15/2017,5.0,Positif,2
Amazing Portuguese Food 02/24/2018,4.5,Positif,2
Steak and fine wine! 12/12/2017,4.5,Positif,2
"Bright, friendly cafe, good service, value... 12/11/2017",3.5,Positif,2
Lovely hidden place 04/02/2015,4.5,Positif,2
Poisoned 01/28/2016,1.5,Négatif,0
Veggie 12/13/2017,3.0,Neutre,1
Totally disappointing 05/03/2017,4.0,Positif,2
Never in a million years! 09/24/2013,1.0,Négatif,0
Worst Chinese food ever! 07/03/2015,1.0,Négatif,0
"Overcooked rice, so so service 11/16/2013",3.0,Neutre,1
"Good Mexican style food, in a noisy place... 07/29/2017",3.0,Neutre,1
Tasty food and good service 10/09/2017,4.0,Positif,2
Great wine shop 02/17/2016,5.0,Positif,2
Typical portuguese tasca 11/22/2017,4.5,Positif,2
"Gone downhill over the years, received rot... 06/11/2017",2.0,Négatif,0
Yummy! Try the lunch deals! 02/10/2013,2.0,Négatif,0
Better to get a takeaway sandwich from the... 08/24/2015,3.0,Neutre,1
The worst club sandwich ever! 11/02/2014,1.0,Négatif,0
Delicious authentic Greek fare without a l... 10/13/2017,4.5,Positif,2
"Beware, there is no wine tasting! 07/11/2016",3.0,Neutre,1
Large and tasteful burger 01/16/2017,3.0,Neutre,1
Do they ever been in mexico? 11/29/2017,3.0,Neutre,1
I don't know if this place is under New Ma... 08/31/2017,3.0,Neutre,1
Rude service - dirty restuarant 04/21/2013,1.5,Négatif,0
A normalsnacking place 04/17/2017,2.0,Négatif,0
The friendliest restaurant in Vienna with... 12/13/2015,2.5,Positif,2
Best grilled fish! Best pizza! 02/19/2017,4.0,Positif,2
Sunday lunch in a nice environment 10/25/2017,3.0,Neutre,1
Pretty average 10/28/2016,4.0,Positif,2
Best meal in Lisbon! 10/26/2017,4.5,Positif,2
Typical Dalston with a twist 05/15/2016,4.5,Positif,2
Just another McDonalds with nice food 10/04/2016,3.0,Neutre,1
Cold 10/13/2017,2.0,Négatif,0
Shysters! Avoid at all costs 10/03/2012,1.0,Négatif,0
"Brilliant food, gluten free! 09/29/2017",4.5,Positif,2
Don't waste your money 01/29/2017,2.0,Négatif,0
"Vegan cheese, amazing crust 12/07/2017",4.5,Positif,2
"Quite good buffet, but not for cheap, chea... 05/14/2017",4.0,Positif,2
Centrally located with good food 09/12/2017,4.0,Positif,2
Neighther Tasty nor Fresh preprared ..Serv... 12/27/2015,3.0,Neutre,1
"Degrading, disgusting and down-right-rude! 01/26/2016",1.5,Négatif,0
Update on this restaurant 04/19/2016,4.5,Positif,2
Thanks bloggers! Excellent hidden gem!! 06/11/2017,4.5,Positif,2
Awesome couscous! 10/15/2017,3.5,Positif,2
Big nope 10/21/2017,3.0,Neutre,1
new favourite 11/16/2017,5.0,Positif,2
An experience not to be repeated 11/07/2015,3.0,Neutre,1
Bottled cocktails? 12/03/2017,2.0,Négatif,0
DON'T GO!!!!!!! ABSOLUTELY 08/24/2017,1.5,Négatif,0
"Below average food, okay atmosphere 01/10/2018",1.0,Négatif,0
"For ""Fancy"" Beer Lovers 04/03/2017",3.5,Positif,2
Escape for a while... 08/06/2017,4.0,Positif,2
Don't buy 08/29/2017,1.5,Négatif,0
"Mama mia, the pizza was bellisima 05/16/2015",3.0,Neutre,1
"Hard to fault , lovely lunch 08/01/2017",5.0,Positif,2
"Great concept, poor execution. 07/16/2013",2.0,Négatif,0
"Very poor food and service, rundown, shabb... 04/08/2015",1.0,Négatif,0
Homemade relief 08/02/2014,4.0,Positif,2
"Poor quality, small portions, miserable st... 09/04/2017",1.0,Négatif,0
A little gem 07/22/2016,4.0,Positif,2
Dobos torte 03/09/2017,4.5,Positif,2
Great little pub to meet up with family 06/14/2015,3.0,Neutre,1
Good for a Pint of Cider in Rome! 05/18/2017,4.0,Positif,2
This place is now legally closed 01/15/2017,2.0,Négatif,0
Plenty of choice! 11/14/2013,3.0,Neutre,1
Free Wi-Fi 10/22/2017,3.0,Neutre,1
Lazy 11/07/2014,2.0,Négatif,0
Quality food in a great looking restaurant 10/01/2017,4.0,Positif,2
Small fast food place near the harbor 04/25/2016,1.5,Négatif,0
Ideal for meetings & drinks 11/11/2017,4.5,Positif,2
Service was terrible 09/14/2017,2.0,Négatif,0
real good pizza 03/16/2016,4.5,Positif,2
Excellent place for Indians to try authent... 01/07/2018,4.5,Positif,2
Tiny Bar with Great Craft Beer Selection 06/11/2017,4.5,Positif,2
Plain bar 10/27/2016,3.0,Neutre,1
excellent food and pizza 09/03/2017,3.0,Neutre,1
We enjoyed the Retsina 10/21/2017,2.0,Négatif,0
6 Euro lunch 05/01/2015,4.5,Positif,2
"Romantic place, great food 02/13/2017",4.5,Positif,2
"Good, but nothing extraordinary... 09/29/2015",3.0,Neutre,1
Delicious polish food 11/06/2017,4.5,Positif,2
Cordon Bleu 10/02/2014,2.0,Négatif,0
Rather expensive 11/29/2017,3.0,Neutre,1
Very good Italian food 12/05/2017,4.5,Positif,2
Nice omelette 05/26/2017,3.0,Neutre,1
"Nice place, normal food 09/18/2017",3.0,Neutre,1
reasonnable price and good food 12/29/2016,3.0,Neutre,1
Great Italian restaurant with wood oven 01/14/2018,4.0,Positif,2
"A nice, friendly local 09/18/2017",4.5,Positif,2
Ripped off. Dodgy food. 09/16/2017,1.0,Négatif,0
a disappointment 10/06/2015,1.5,Négatif,0
Interesting Menu 10/17/2015,4.5,Positif,2
Tapas Tasting Menu 05/10/2014,3.0,Neutre,1
Big panini 07/25/2017,4.5,Positif,2
Wonderful family dinner 05/09/2016,4.5,Positif,2
Piss Poor 06/06/2017,2.0,Négatif,0
Cracking 11/12/2017,4.5,Positif,2
Typical Heurigen 06/13/2017,4.0,Positif,2
Japanese technology for delicious tapas 11/29/2017,3.0,Neutre,1
"Coffee good, but be careful with your chan... 08/18/2013",2.0,Négatif,0
UNDER NEW MANAGEMENT - DISASTER 11/29/2017,3.0,Neutre,1
Great cafe friendly staff and dog / child... 09/24/2017,3.0,Neutre,1
the food is okay but everything else was v... 03/21/2016,3.0,Neutre,1
Great view but horrible food and service! 05/19/2015,1.0,Négatif,0
Terrible worse Chinese we have ever had!! 12/17/2016,1.0,Négatif,0
"Lebanese food, excellent for quick meal 09/10/2015",3.0,Neutre,1
Excellent place for a glass of wine + pint... 12/05/2017,4.5,Positif,2
Exciting menu and great location - but whe... 03/12/2017,3.0,Neutre,1
Terrible Tuna 08/24/2017,4.0,Positif,2
Expectations were too high 11/19/2017,3.5,Positif,2
"Great little Cafe, Fabulous Food 07/25/2014",5.0,Positif,2
Christ knows why I gave it a second chance... 01/07/2018,2.0,Négatif,0
"Beefburger ok, chicken burger terrible 10/11/2017",2.0,Négatif,0
Loved this pizzeria!! 06/15/2015,3.5,Positif,2
Cold and poor service 04/07/2014,1.5,Négatif,0
Ok Ok Place 11/30/2015,1.5,Négatif,0
stale hotdogs and old coffe anyone?? 02/23/2016,1.5,Négatif,0
A series of mistakes 01/03/2018,4.5,Positif,2
Excellent food - really friendly accommoda... 09/06/2017,4.5,Positif,2
Great view over the port! 05/25/2008,3.0,Neutre,1
It's just not great food or cheap 07/05/2016,3.0,Neutre,1
Great restaurant but reservation needed 11/23/2017,3.0,Neutre,1
"Love this place, love the food! 04/14/2017",5.0,Positif,2
Shame about the extras 10/08/2017,4.0,Positif,2
Mr S Binet 10/15/2017,4.5,Positif,2
The average fast food - not surprising. 12/03/2015,4.0,Positif,2
The best burger ever? 01/02/2018,4.0,Positif,2
A Decent bar 10/04/2016,3.5,Positif,2
Won't come back 02/05/2016,3.0,Neutre,1
"Good food, great value, excellent service 10/12/2016",4.5,Positif,2
"About its café, not hotel. 08/28/2017",3.0,Neutre,1
"Great food, great ambience, great view 10/27/2017",4.5,Positif,2
Football Drinks 05/15/2017,2.0,Négatif,0
DELIVERY: Waited 2h 15 min for our Pizza 09/02/2015,2.0,Négatif,0
Down hill 12/03/2016,1.5,Négatif,0
Bad pizza 08/13/2017,2.0,Négatif,0
Terrible customer service 01/03/2018,3.0,Neutre,1
not only... 05/24/2013,2.0,Négatif,0
Nice Berliner Kneipe 11/12/2015,3.0,Neutre,1
"Nice folks, poor cuisine 09/03/2013",1.5,Négatif,0
Nice and fast 09/30/2017,4.0,Positif,2
Avoid at any cost 03/15/2016,1.0,Négatif,0
Super bad!!! 04/02/2017,2.0,Négatif,0
Good cocktail 07/29/2015,3.0,Neutre,1
Not a very good experience. 04/16/2017,2.0,Négatif,0
What is Oumph ? 07/20/2017,3.0,Neutre,1
Good value fresh and friendly 01/16/2017,4.0,Positif,2
"Expensive tasteless food, 10/20/2017",3.0,Neutre,1
"Food poor/setting, price and staff terribl... 10/22/2017",1.0,Négatif,0
watered down beer 02/11/2017,1.0,Négatif,0
Mouthwatering! So Good! 08/31/2017,3.0,Neutre,1
Delicious waffles in the center of Hamburg 01/18/2016,4.0,Positif,2
Groupon restaurant 02/23/2012,1.5,Négatif,0
It was good but could of been better. 01/06/2015,3.0,Neutre,1
Not good food and service 10/01/2016,2.0,Négatif,0
"Closed tonight, but looks good! 06/13/2017",4.0,Positif,2
Nice backery 11/29/2017,4.5,Positif,2
Several visits 04/24/2017,4.0,Positif,2
A busy burger king 07/08/2017,3.0,Neutre,1
2 different menus!! 09/22/2017,3.5,Positif,2
Average Greek restaurant. 02/09/2009,3.0,Neutre,1
"Great Kebab, horrible chips 09/04/2017",2.0,Négatif,0
"Nice atmosphere, very good pizza, top serv... 01/29/2017",3.0,Neutre,1
A Sunday Superb Breakfast in a relaxed atm... 01/08/2018,4.5,Positif,2
The worst place we've ever eaten at! 12/14/2014,2.0,Négatif,0
It really is a crime 05/02/2017,3.0,Neutre,1
Great Japanese at Södermalm 08/20/2017,4.0,Positif,2
Only if you are really hungry 09/29/2015,2.0,Négatif,0
Fusion 12/09/2017,3.0,Neutre,1
Expectable 03/27/2017,3.0,Neutre,1
Snack for Holland Park 09/25/2016,3.0,Neutre,1
Not great at all 12/21/2013,2.0,Négatif,0
Loved this place and the bikes were a bonu... 12/26/2017,4.5,Positif,2
We liked it 08/05/2014,2.5,Positif,2
Use a different pizza hut 03/13/2016,1.0,Négatif,0
Pure vegetarian 12/11/2016,4.0,Positif,2
Feeling! 09/18/2016,4.0,Positif,2
dreary place 03/26/2013,1.5,Négatif,0
"Kudo Chinese takeaway,Landor Rd, Clapham 11/01/2016",1.0,Négatif,0
shockingly dissapointed 10/23/2017,2.0,Négatif,0
Good to have quick food in a busy day 02/15/2017,3.0,Neutre,1
Very disappointing food and service 10/07/2017,3.5,Positif,2
Major attitude issues 02/07/2015,3.0,Neutre,1
Super Italian pizza when you need somethin... 08/06/2017,3.0,Neutre,1
It was too cold to stay 01/31/2017,1.0,Négatif,0
Improve Your Customer Service! 08/06/2017,3.0,Neutre,1
a nice cosy caffe nero 03/09/2016,3.0,Neutre,1
Frascati 03/21/2015,1.5,Négatif,0
Horrible. Avoid. 10/20/2015,3.0,Neutre,1
The first tapas bar in Bratislava! 03/18/2017,4.5,Positif,2
Fantastic Chinese Food on Rue Jacob 05/06/2013,3.0,Neutre,1
LOCKED IN 04/18/2016,1.0,Négatif,0
Only if you have to 03/08/2017,2.0,Négatif,0
Not There.. It is now a Quik Burger joint 08/03/2013,2.0,Négatif,0
Nice burgers and vegan option 05/02/2017,3.5,Positif,2
Nice restaurant in Budapest Music Hall 11/16/2017,3.0,Neutre,1
Thieving toads 02/14/2018,1.0,Négatif,0
"Decent food, but careful with money 11/12/2017",2.0,Négatif,0
Watch out . Terrible and wallet stolen 03/02/2017,3.0,Neutre,1
An old-fashioned coffee shop 11/02/2017,3.5,Positif,2
Hire more staff 09/08/2017,2.0,Négatif,0
Good value lunchtime menu 04/28/2017,4.5,Positif,2
Cheaper Pizza 12/20/2016,1.5,Négatif,0
Basic pizza place 07/28/2015,2.0,Négatif,0
Complete and utter waste of time 07/17/2016,1.0,Négatif,0
"Excellent Beef, Fries & Veggies 11/17/2017",4.5,Positif,2
The Brexiteers choice 11/09/2017,3.0,Neutre,1
Low cost in Tourist area 05/28/2017,3.0,Neutre,1
Great spot and staff 07/06/2017,4.0,Positif,2
Beyond our expectations 10/22/2014,2.0,Négatif,0
Poor man's San Miguel Market 02/11/2016,3.0,Neutre,1
Check your change 08/03/2017,1.5,Négatif,0
Relaxed n good 12/31/2017,4.5,Positif,2
Great live music on Sunday night 06/26/2017,4.0,Positif,2
Very poor customer service 11/20/2016,1.0,Négatif,0
